Avg TCP Retrans. Vol (Bytes),Avg RTT (ms),Avg Throughput (kbps),Cluster
9376770.557974614,50.97762826607247,27662.805328363018,0
793947.6036217981,61.4613549113858,2194.281909895796,1
1102586538.2246237,72.12881526104418,35978.12063253012,2
